Key,Spanish(es),English(en)
A0072,"Estos Términos y Condiciones regulan el uso de nuestra aplicación. 
1. Aceptación

Al usar esta aplicación, aceptas cumplir con estos términos. Si no estás de acuerdo, no deberías utilizarla.

2. Uso de la app

El usuario debe proporcionar información verídica al registrarse.
No se permite el uso de la app para fines ilícitos o prohibidos.
Nos reservamos el derecho de suspender o eliminar cuentas por mal uso.

3. Contenido

Todo el contenido de la app (gráficos, textos, personajes, etc.) es propiedad de PeriodicApp o sus licenciantes. No se permite su reproducción sin autorización.

4. Limitación de responsabilidad

No nos responsabilizamos por daños derivados del uso o mal funcionamiento de la app. La app se proporciona ""tal cual"".

5. Cambios

Podemos modificar estos términos en cualquier momento. Te notificaremos dentro de la app sobre cualquier cambio importante.

6. Contacto

Para dudas o reclamaciones, puedes contactarnos en periodicaapoficial@gmail.com","These Terms and Conditions govern your use of our app.

1. Acceptance

By using this app, you agree to abide by these terms. If you do not agree, you should not use it.

2. Use of the App

The user must provide truthful information upon registration.
Use of the app for illegal or prohibited purposes is prohibited.
We reserve the right to suspend or delete accounts for misuse.

3. Content

All app content (graphics, text, characters, etc.) is the property of PeriodicApp or its licensors. Unauthorized reproduction is prohibited.

4. Limitation of Liability

We are not responsible for damages arising from the use or malfunction of the app. The app is provided ""as is.""

5. Changes

We may modify these terms at any time. We will notify you within the app of any significant changes.

6. Contact

For questions or complaints, you can contact us at periodicaapoficial@gmail.com"
A0073,Políticas de privacidad,Privacy Policies
A0074,"Estos Términos y Condiciones regulan el uso de nuestra aplicación. 
1. Aceptación

Al usar esta aplicación, aceptas cumplir con estos términos. Si no estás de acuerdo, no deberías utilizarla.

2. Uso de la app

El usuario debe proporcionar información verídica al registrarse.
No se permite el uso de la app para fines ilícitos o prohibidos.
Nos reservamos el derecho de suspender o eliminar cuentas por mal uso.

3. Contenido

Todo el contenido de la app (gráficos, textos, personajes, etc.) es propiedad de PeriodicApp o sus licenciantes. No se permite su reproducción sin autorización.

4. Limitación de responsabilidad

No nos responsabilizamos por daños derivados del uso o mal funcionamiento de la app. La app se proporciona ""tal cual"".

5. Cambios

Podemos modificar estos términos en cualquier momento. Te notificaremos dentro de la app sobre cualquier cambio importante.

6. Contacto

Para dudas o reclamaciones, puedes contactarnos en periodicaapoficial@gmail.com","These Terms and Conditions govern your use of our app.

1. Acceptance

By using this app, you agree to abide by these terms. If you do not agree, you should not use it.

2. Use of the App

The user must provide truthful information upon registration.
Use of the app for illegal or prohibited purposes is prohibited.
We reserve the right to suspend or delete accounts for misuse.

3. Content

All app content (graphics, text, characters, etc.) is the property of PeriodicApp or its licensors. Unauthorized reproduction is prohibited.

4. Limitation of Liability

We are not responsible for damages arising from the use or malfunction of the app. The app is provided ""as is.""

5. Changes

We may modify these terms at any time. We will notify you within the app of any significant changes.

6. Contact

For questions or complaints, you can contact us at periodicaapoficial@gmail.com"
A0075,Datos Personales,Personal Data
A0076,Edad,Age
A0077,Departamento,Department
A0078,Ciudad,City
A0079,Guardar Cambios,Save Changes
A0080,Idioma,Language
A0081,Cuenta,Account
A0082,Bienvenido a Comunidades,Welcome to Communities
A0083,Mis Comunidades,My Communities
A0084,Descrubre,Discover
A0085,Busca dentro de tus comunidades,Search within your communities
A0086,Crea tu propia comunidad,Create your own community
A0087,Nueva Comunidad,New Community
A0088,Nombre,Name
A0089,Descripción,Description
A0090,Privacidad,Privacy
A0091,Pública,Public
A0092,Cualquier persona puede ver y unirse a la comunidad.,Anyone can view and join the community.
A0093,Privada,Private
A0094,Solo miembros invitados pueden participar.,Only invited members can participate.
A0095,Crear Comunidad,Create Community
A0096,Rango,Range
A0097,Mis Amigos,My Friends
A0098,Solicitudes,Applications
A0099,Ver todos,See all
A0100,Sugerencuas de Amigos...,Suggestions from Friends...
A0101,¡EXPLORA COMUNIDADES!,EXPLORE COMMUNITIES!
A0102,General,General
A0103,Mundo Quimico,Chemical World
A0104,Camara,Camera
A0105,Juegos,Games
A0106,Sin conexión a internet. Verifica tu red.,No internet connection. Check your network.
A0107,Volver al Inicio,Return to Home
A0108,Elige un modo de juego,Choose a game mode
A0109,COMBATE QUIMICO,CHEMICAL COMBAT
A0110,QUIMICADOS,CHEMICALS
A0111,¿Con quién quieres jugar?,Who do you want to play with?
A0112,¿A cuál de tus amigos desafiarás?,Which of your friends will you challenge?
A0113,Escanear un elemento,Scan an item
A0114,Cambiar Modelo,Change Model
A0115,Solicitar Unirse,Request to Join
A0116,Invitar,Invite
A0117,Eliminar,Eliminate
A0118,Agregar Amigo,Add Friend
A0119,Jugar,Play
A0120,Comunidades,Communities
A0121,Añadir Amigos,Add Friends
A0122,Elige a tu oponente,Choose your opponent
A0123,Partidas activas,Active games
A0124,Nueva Partida,New Game
A0125,Turno del oponente,Opponent's turn
